ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,21/05/2020 10:00,81320,83309,81317,83027,11395200,83027
^BVSP,22/05/2020 10:00,83027,83027,81669,82173,9281200,82173
^BVSP,25/05/2020 10:00,82198,85876,82193,85663,8764400,85663
^BVSP,26/05/2020 10:00,85668,87333,85396,85469,12030800,85469
^BVSP,27/05/2020 10:00,85468,87946,85468,87946,11212000,87946
^BVSP,28/05/2020 10:00,87946,88091,86767,86949,10117000,86949
^BVSP,29/05/2020 10:00,86951,87410,85384,87403,16550900,87403
^BVSP,01/06/2020 10:00,87395,89019,86837,88620,9849400,88620
^BVSP,02/06/2020 10:00,88622,91046,88622,91046,11827300,91046
^BVSP,03/06/2020 10:00,91048,93710,91048,93002,15137900,93002
^BVSP,04/06/2020 10:00,92993,94132,92221,93829,11488000,93829
^BVSP,05/06/2020 10:00,93839,97356,93839,94637,13320300,94637
^BVSP,08/06/2020 10:00,94640,97693,94635,97645,11096500,97645
^BVSP,09/06/2020 10:00,97644,97644,95386,96747,11278800,96747
^BVSP,10/06/2020 10:00,96747,97646,94665,94686,11739600,94686
^BVSP,12/06/2020 10:00,94677,94703,90811,92795,12785600,92795
^BVSP,15/06/2020 10:00,92780,93112,90148,92376,13317500,92376
^BVSP,16/06/2020 10:00,92387,95216,92387,93531,12034200,93531
^BVSP,17/06/2020 10:00,93531,96611,93531,95547,11134700,95547
^BVSP,18/06/2020 10:00,95547,97110,94698,96125,10008500,96125
^BVSP,19/06/2020 10:00,96138,97540,95874,96572,13134400,96572
^BVSP,22/06/2020 10:00,96572,96870,94869,95336,8264700,95336
^BVSP,23/06/2020 10:00,95344,97486,95344,95975,9752700,95975
^BVSP,24/06/2020 10:00,95974,95974,93259,94377,9962700,94377
^BVSP,25/06/2020 10:00,94382,96260,94152,95983,8697900,95983
^BVSP,26/06/2020 10:00,95979,95979,93514,93834,8439100,93834
^BVSP,29/06/2020 10:00,93837,95735,93825,95735,8906800,95735
^BVSP,30/06/2020 10:00,95728,96257,94806,95056,10144500,95056
^BVSP,01/07/2020 10:00,95062,96852,95062,96203,10163300,96203
^BVSP,02/07/2020 10:00,96206,97864,96052,96235,10062900,96235
^BVSP,03/07/2020 10:00,96237,96765,95803,96765,5351600,96765
^BVSP,06/07/2020 10:00,96776,99257,96768,98937,9489400,98937
^BVSP,07/07/2020 10:00,98937,98938,97272,97761,8951400,97761
^BVSP,08/07/2020 10:00,97765,99973,97765,99770,9142700,99770
^BVSP,09/07/2020 10:00,99770,100191,98861,99160,0,99160
^BVSP,10/07/2020 10:00,99160,100101,98739,100032,9147200,100032
^BVSP,13/07/2020 10:00,100027,100858,98697,98697,10382300,98697
^BVSP,14/07/2020 10:00,98699,100632,98289,100440,10019400,100440
^BVSP,15/07/2020 10:00,100444,102114,100444,101791,9285600,101791
^BVSP,16/07/2020 10:00,101791,101792,100160,100553,8127100,100553
^BVSP,17/07/2020 10:00,100554,103017,100554,102888,10429400,102888
^BVSP,20/07/2020 10:00,102888,104439,102744,104426,8931800,104426
^BVSP,21/07/2020 10:00,104426,105449,103732,104310,11105800,104310
^BVSP,22/07/2020 10:00,104312,104980,103277,104290,10833700,104290
^BVSP,23/07/2020 10:00,104291,104949,102119,102293,10366600,102293
^BVSP,24/07/2020 10:00,102292,102694,100859,102382,9795200,102382
^BVSP,27/07/2020 10:00,102381,104585,102381,104477,9622400,104477
^BVSP,28/07/2020 10:00,104477,104663,103592,104109,9087100,104109
^BVSP,29/07/2020 10:00,104112,105704,104112,105605,9238300,105605
^BVSP,30/07/2020 10:00,105605,105607,103920,105009,9591700,105009
^BVSP,31/07/2020 10:00,105010,105462,102642,102912,12929300,102912
^BVSP,03/08/2020 10:00,102913,103863,102304,102830,10901000,102830
^BVSP,04/08/2020 10:00,102826,103012,100005,101216,12029800,101216
^BVSP,05/08/2020 10:00,101220,103763,101220,102802,10922100,102802
^BVSP,06/08/2020 10:00,102733,104523,102733,104126,9686600,104126
^BVSP,07/08/2020 10:00,104116,104126,101957,102776,10337100,102776
^BVSP,10/08/2020 10:00,102776,103722,101282,103444,8259500,103444
^BVSP,11/08/2020 10:00,103449,104409,102174,102174,9360900,102174
^BVSP,12/08/2020 10:00,102176,103116,100698,102118,10114200,102118
^BVSP,13/08/2020 10:00,102118,103237,100187,100461,10721300,100461
^BVSP,14/08/2020 10:00,100469,101717,100445,101353,8576300,101353
^BVSP,17/08/2020 10:00,101348,101689,98513,99595,10816200,99595
^BVSP,18/08/2020 10:00,99597,102247,99597,102065,9418700,102065
^BVSP,19/08/2020 10:00,102072,102334,100800,100854,10025800,100854
^BVSP,20/08/2020 10:00,100853,101749,99131,101468,9405000,101468
^BVSP,21/08/2020 10:00,101460,101566,100412,101521,9100200,101521
^BVSP,24/08/2020 10:00,101525,102515,101525,102298,7723000,102298
^BVSP,25/08/2020 10:00,102293,102708,101623,102118,8170900,102118
^BVSP,26/08/2020 10:00,102119,102521,99359,100627,9861200,100627
^BVSP,27/08/2020 10:00,100625,101548,99857,100624,7360600,100624
^BVSP,28/08/2020 10:00,100631,102347,100631,102143,7665700,102143
^BVSP,31/08/2020 10:00,102142,102142,99369,99369,12226100,99369
^BVSP,01/09/2020 10:00,99382,102238,99382,102168,9384700,102168
^BVSP,02/09/2020 10:00,102168,102824,100872,101911,7557900,101911
^BVSP,03/09/2020 10:00,101911,103226,99751,100721,12611000,100721
